category,model,mean,std
CM,ridge,0.3430469564708741,0.032737777117715625
AM,ridge,0.5014903618398098,0.033820881867438306
CF,ridge,0.48700201521346625,0.07305963083587544
AF,ridge,0.44665721037046247,0.043426335283615974
all,ridge,0.45552819199148276,0.02488300311910339
CM,svr,0.3622104039830168,0.022871334119156383
AM,svr,0.5696658847427563,0.012083704312061003
CF,svr,0.5193859404280934,0.03540371217900479
AF,svr,0.5020261471072118,0.04646945691410137
all,svr,0.5180552593508448,0.022042951888132788
CM,rf,0.18400620923881114,0.04963518945778333
AM,rf,0.41168226575035927,0.04244333213564028
CF,rf,0.4092638642299392,0.055435571813104115
AF,rf,0.38172105953375207,0.055710035889723
all,rf,0.34990460115756744,0.05521893513884341
