category,model,mean,std
CM,ridge,0.21276142229918654,0.030285940632704886
AM,ridge,0.3170638516810945,0.008342400590030635
CF,ridge,0.38935492706714825,0.09470979205864198
AF,ridge,0.09775175624978419,0.4992432315069423
all,ridge,0.29002912040096446,0.03171736357951517
CM,svr,0.1774432771181999,0.027413918821165284
AM,svr,0.366567528436344,0.014159347569352644
CF,svr,0.4519977376189946,0.06017022722181491
AF,svr,0.3956424856621945,0.06230199988620745
all,svr,0.3638808892259354,0.033483200415429425
CM,rf,0.1360936808330186,0.04970174832894238
AM,rf,0.2734922326226585,0.010558386380593485
CF,rf,0.3526906330602936,0.051168972305042214
AF,rf,0.3051525604003463,0.03463693542418968
all,rf,0.2804346835845751,0.02622949980706681
