category,model,mean,std
CM,ridge,0.32039492490398935,0.05166786384398875
AM,ridge,0.25367602825140645,0.033484803187912485
CF,ridge,0.4428265040104529,0.08725986413983705
AF,ridge,-0.18551651179637957,1.0081055551589455
all,ridge,0.20528933721697032,0.09288280709293532
CM,svr,0.33308578943769107,0.06342133891307551
AM,svr,0.2869167113484951,0.03756463165486971
CF,svr,0.4855070766451749,0.0725552754465095
AF,svr,0.3440830034522328,0.0656339727368762
all,svr,0.3250114382762389,0.02880250023691623
CM,rf,0.20287327343825767,0.038194495828030146
AM,rf,0.261471666506282,0.02894696947043045
CF,rf,0.4171783628158051,0.08598840637683636
AF,rf,0.2614255384868251,0.054552131421047215
all,rf,0.24226868901803914,0.028267587812317262
