category,model,mean,std
CM,ridge,0.14537038546288178,0.05662839558712376
AM,ridge,0.4300046840651962,0.06503785673445059
CF,ridge,0.05569569596870742,0.5102048506305907
AF,ridge,0.4199450402026045,0.08165310838413926
all,ridge,0.4262016259754538,0.029846334535436135
CM,svr,-0.006885509342814622,0.004776664627559079
AM,svr,-0.00394461917226332,0.004662381379283276
CF,svr,-0.009621203101686192,0.009206175193988827
AF,svr,-0.0027009608535032647,0.0025686569719135673
all,svr,-0.002281341306879492,0.0008962638250955617
CM,rf,0.39224371231215927,0.05836423379734894
AM,rf,0.28405562933222217,0.02168393888899019
CF,rf,0.45434180875330565,0.05206994081744711
AF,rf,0.2361696885092094,0.05867346422179767
all,rf,0.2505418842285385,0.044910853761734246
